2531A018 2531A00301;2531A185 2531A040;2531A003032531A00401;2;295114.5
2523A001 2523A015;2523A013 2523A048;2523A011 2523A012;2;295123.5
2533A010 3511A006;2533A010 2533A018;2533A008 2533A010;2;295146.5
2523A001 2523A015;2523A015 2523A014;2523A012 2523A013;2;295173.5
2514A036 2514A037;2514A034 2523A033;2514A034 2514A176;2;295181.5
2514A037 2514A092;2514A036 2514A037;2514A034 2514A176;2;295181.5
2514A092 2523A042;2514A036 2514A037;2514A034 2514A176;2;295181.5
2531A065 2531A052;2531A050 2531A051;2531A052 2531A008;2;295201.5
2533A037 2533A038;2531A010 2533A037;2533A078 2533A079;2;295211.5
2532A013 2532A014;2541A001 2541A006;2532A015 2532A028;2;295223.5
2541A044022541A002;2541A002 2532A013;2541A008 2541A009;2;295225.5
2532A013 2532A014;2532A016 2541A001;2541A006 2543A017;2;295241.5
2523A002 2523A011;2523A001 2523A010;2523A002 2523A016;2;295260.5
2531A182 2531A014;2531A094 2531A182;2531A163 2533A074;2;295267.5
2534A024 3512A020;2534A005 3512A002;3512A007 3512A002;2;295279.5
2533A019 2533A114;2533A111 2533A018;2533A010 2533A018;2;295281.5
2523A031 2523A030;2523A027 2523A031;2523A034 2523A032;2;295295.5
2523A030 2523A016;2523A017 2541A003;2523A002 2523A016;2;295311.5
2523A003 2523A004;2514A033032514A034;2523A005 2523A006;2;295323.5
2523A003 2523A004;2523A015 2523A014;2523A005 2523A006;2;295323.5
2523A003 2523A004;2523A032 2523A031;2523A005 2523A006;2;295323.5
2523A003 2523A004;2523A034 2523A032;2523A005 2523A006;2;295323.5
2541A004 2541A04405;2541A044022541A002;2532A093012541A04401;2;295324.5
2514A031 2523A014;2514A031 2514A020;2514A031 2514A00503;2;295327.5
2533A026 2533A027;2531A109 2533A027;2533A027 2533A028;2;295327.5
2532A029 2532A030;2532A006022532A007;2532A081 2532A00601;2;295331.5
2531A182 2531A014;2531A163 2531A182;2531A094 2531A182;2;295334.5
2523A002 2523A011;2523A001 2523A015;2523A012 2523A013;2;295369.5
2533A011042533A050;2533A095 2533A096;2533A050 2533A00105;2;295369.5
2533A003 2533A035;2533A055 2533A054;2533A003 2533A034;2;295389.5
2531A156 2531A069;2531A069 2532A038;2531A068022531A069;2;295390.5
2532A027 2532A028;2532A014 2541A001;2541A001 2541A006;2;295393.5
2514A040 2514A007;2514A037 2514A038;2532A011032523A043;2;295417.5
2543A007 2543A001;2543A020 2543A019;2541A006 2543A017;2;295427.5
2533A081 2533A087;2533A039 2533A038;2533A039 2533A040;2;295441.5
2534A043 2543A019;2543A009 2543A010;2543A008 2543A009;2;295453.5
2543A009 2543A010;2543A015 2543A010;2543A008 2543A009;2;295453.5
2543A020 2543A007;2543A009 2543A010;2543A008 2543A009;2;295453.5
2543A020 2543A019;2543A009 2543A010;2543A008 2543A009;2;295453.5
2534A009 2534A010;2532A007 2534A009;2534A051 2534A050;2;295458.5
2533A055 2533A054;2533A096 2533A050;2533A053 2533A002;2;295471.5
2534A006 2534A01101;2534A011032534A052;2534A011022534A008;2;295471.5
2514A014 2514A126;2514A014 2514A016;2514A011 2514A012;2;295480.5
2532A014 2541A001;2532A015 2532A016;2541A006 2543A017;2;295494.5
2532A053 2532A042;2532A053 2532A043;2532A039 2532A053;2;295502.5
2514A014 2514A126;2514A012 2514A013;2514A014 2514A016;2;295534.5
2532A072 2532A097;2532A005 2532A037;2532A036 2532A037;2;295544.5
2514A038 2514A039;2514A040 2514A007;2532A011032523A043;2;295558.5
2533A065 2533A024;2531A133 2533A065;2533A063 2533A026;2;295594.5
3511A032 3511A011;3511A011 3511A073;3511A011 3511A033;2;295600.5
3511A009 3511A032;3511A015 3511A009;2533A021 3511A009;2;295636.5
2534A005 2534A024;3512A020 3512A008;2534A024 2534A025;2;295644.5
2533A088 2533A084;2533A086 2534A040;3511A015 2533A089;2;295647.5
3512A007 3512A002;3512A017 3512A016;3512A005 3512A006;2;295672.5
2531A051 2531A052;2531A050 2531A066;2531A009022531A050;2;295691.5
2531A050 2531A066;2531A065 2531A066;2531A066 2513A097;2;295694.5
2532A014 2541A001;2541A002 2532A013;2532A015 2532A016;2;295694.5
2532A014 2541A001;2541A002 2532A013;2532A015 2532A028;2;295694.5
2532A014 2541A001;2541A002 2532A013;2532A016 2541A001;2;295694.5
2532A027 2532A028;2532A014 2541A001;2541A002 2532A013;2;295694.5
2533A054 2533A053;2533A054 2533A095;2533A003 2533A055;2;295694.5
2541A044022541A002;2532A014 2541A001;2541A002 2532A013;2;295694.5
2532A029 2532A027;2532A007 2532A027;2532A016 2541A001;2;295732.5
